,cohort,founderImage,founders,id,logo,name,projectDescription,projectLocation,projectStatus,sector,website
0,"{'label': 'EFSG2 (Singapore)', 'value': 'efsg2Singapore', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/EFSG1.png,"[{'col1': 'Yasaman Nematbakhsh', 'founderName': 'Yasaman Nematbakhsh'}, {'col1': 'Data Ng', 'founderName': 'Data Ng'}]",1682,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/42Lab.png,42Lab,"<p><strong>42LAB</strong> is the first modular, portable and affordable biotech laboratory for students. With Science, Technology, Engineering and Mathematics (STEM) education becoming required in OECD countries, most schools struggle to introduce biotechnology to their students due to high equipment cost and troublesome experiment preparation. 42LAB solves this problem by providing a portable modular biotech equipment for students to conduct experiments as well as a companion app which serves as an electronic manual for students and a management tool for teachers. Our vision is to bring biotech experience to every student like what Raspberry pi does for computer science.<br /><span class=""m_-3051852255652193813gmail-im""></span></p><p>
</p><p><strong><br /></strong></p><p><strong>Dr. Yasaman Nematbakhsh</strong> (CEO) is an expert in novel biomedical engineering fields such as microfluidics and biodesign with nearly 10 years of experience in biology and engineering. She has won numerous scholarships and awards for her outstanding work in her PhD at National University of Singapore and had been a crucial member of 3 startups.  </p><p>
</p><p><strong><br /></strong></p><p><strong>Dr. Data Ng </strong>(CTO) is a hardware expert with a PhD in physics from Hong Kong University. As a director of a secondary school and court member of a university in Hong Kong, he has extensive network with schools and knows educational system inside out.</p>","{'label': 'Singapore', 'value': 'singapore', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Education', 'value': 'education', 'selected': True}",https://42lab.io/
1,"{'label': 'EF5 (London)', 'value': 'ef5London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/accelerated-dynamics.JPG,"[{'col1': 'Mantas Gribulis', 'founderName': 'Mantas Gribulis'}, {'col1': 'Umar Javed Wani', 'founderName': 'Umar Javed Wani'}]",151,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/ef-alumni-accelerateddynamics-a.png,Accelerated Dynamics,"<p><strong>Accelerated Dynamics</strong> use machine learning, planning and multi-agent technologies, to transform drones, autonomous cars, satellite systems, and IoT devices into AI controllable assets which no longer require human operators. Our aim is to ease and promote the use of collaborative robots (aerial, ground or underwater) for business to enable the 4th Industrial Revolution.</p>
<p><strong><br /></strong></p>
<p><strong>Mantas Gribulis</strong> is a Robotics Engineer with a Masters degree in Robotics and Artificial Intelligence from KCL. His areas of expertise are Artificial Intelligence, Scheduling and Planning and Robot Operating System. His Master’s thesis at KCL, titled, “Intelligent Planning for Unmanned Aerial Vehicle Systems” integrated cutting edge A.I. planning techniques into Robot Operating System to simulate fully autonomous UAV behavior in mission critical scenarios. <br /></p>
<p><strong><br /></strong></p>
<p><strong>Umar Javed Wani</strong> has a Masters degree in Robotics, Systems and Control from the highly prestigious ETH Zurich. He has a bachelors degree in Mechatronics Engineering. Umar has worked with some of the top researchers in the field of Robotics and Artificial Intelligence, such as Prof. Rolf Pfiefer and Prof. Fumiya Iida, during his stay at ETH Zurich and has authored research papers on topics such as autonomous wheelchairs and soft sensors. </p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Robotics/IoT', 'value': 'roboticsIot', 'selected': True}",https://www.accelerateddynamics.co/
2,"{'label': 'EF6 (London)', 'value': 'ef6London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/Screen-Shot-2017-07-07-at-1.57.05-PM.png,"[{'col1': 'Jacob Haddad', 'founderName': 'Jacob Haddad'}, {'col1': 'Laurence Bargery', 'founderName': 'Laurence Bargery'}]",231,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/accurx.png,AccuRx,"<p><strong>AccuRx</strong> is developing data-driven diagnostic software to eliminate inappropriate antibiotic use and tackle antimicrobial resistance (AMR). AMR is one of the greatest societal threats, currently responsible for 700,000 global deaths each year, with this figure projected to rise to 10 million deaths by 2050, and a 3.5% hit to GDP. We solve this by combining decision support, behavioural science and data science, and starting in primary care.</p>
<p><br /></p>
<p><strong>Jacob Haddad</strong> read Engineering, Economics and Management at Oxford. He has led healthcare projects in quality improvement, performance improvement and outcome based commissioning.</p>
<p><br /></p>
<p><strong>Laurence Bargery</strong> read Physics at Cambridge. He previously developed optimisation software for the oil industry, and in his spare time built and sold sports competition software</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Digital Health', 'value': 'healthcare', 'selected': True}",http://www.accurx.com/
3,"{'label': 'EFSG1 (Singapore)', 'value': 'efsg1Singapore', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/Ackcio.png,"[{'col1': 'Mobashir Mohammad', 'founderName': 'Mobashir Mohammad'}, {'col1': 'Nimantha Baranasuriya', 'founderName': 'Nimantha Baranasuriya'}]",252,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/ef-alumni-ackclo-b.png,Ackcio,"<p><strong></strong><strong>Ackcio</strong> builds extremely reliable, wireless monitoring solutions for the world's most challenging industries, like construction. Their end-to-end solution integrates with any industrial sensor and transmits sensor readings wirelessly to their cloud services where the data gets stored and analyzed. Ackcio's patent-pending wireless data collection protocol is capable of automatically learning an environment and fine-tuning radio parameters to ensure that no data gets lost during transmission of sensor readings.</p>
<p><br /></p>
<p><strong>Mobashir Mohammad</strong> is a wireless networking expert with 9 years of experience. He has won several awards for his outstanding PhD research in reliable wireless data collection protocols at NUS.</p>
<p><br /></p>
<p><strong>Nimantha Baranasuriya</strong> completed his PhD in wireless networks at NUS. His patent-pending techniques on improving the reliability of VoIP applications on Wi-Fi networks have been integrated in Skype</p>","{'label': 'Singapore', 'value': 'singapore', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Manufacturing/Industrial', 'value': 'manufacturingIndustrial', 'selected': True}",https://ackcio.com/
4,"{'label': 'EF1 (London)', 'value': 'ef1London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Alumni-Placeholder/_w1024/Pixel_emoji_1_170628_100840.jpg,"[{'col1': 'Gareth Davies', 'founderName': 'Gareth Davies'}]",255,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/Adbrain.png,Adbrain,"<p><strong>Adbrain’s</strong> mission is to unlock the universe of data to build smarter businesses.  We drive business insights and real time, cross platform advertising decisioning for clients like M&amp;C Saatchi and Onmicom.<br /></p>
<p><br /></p>
<p><strong></strong><strong>Gareth Davies</strong> has held multiple commercial roles at Google and DoubleClick. He also developed pioneering adtech solutions and ran global commercial operations for Somo</p>","{'label': 'New York', 'value': 'newYork', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'AR/VR/Media', 'value': 'arVrMedia', 'selected': True}",http://www.adbrain.com/
5,"{'label': 'EFSG2 (Singapore)', 'value': 'efsg2Singapore', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/EFSG1.png,"[{'col1': 'Nisarg Shah', 'founderName': 'Nisarg Shah'}, {'col1': 'Swayam Narain', 'founderName': 'Swayam Narain'}]",1670,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/Affable.png,Affable,"<p><strong>Affable</strong> is building an end-to-end platform that brings intelligence and automation to influencer marketing. They derive insights about micro influencers and their audience by using cutting edge computer vision algorithms on social media posts. Affable is building the technology that enables one-click influencer marketing at scale, doing to social what Google Adwords did to search.<br /></p><p><br /></p>
<p><strong>Nisarg Shah</strong> graduated with a silver medal for overall excellence from Indian Institute of Technology (IIT). He worked with Goldman Sachs where he spearheaded software automation and big data projects.<strong> </strong>Nisarg also developed and launched a social learning platform (Graspr) and an AR visualisation platform (Visualive) before founding Affable<strong>.</strong></p>
<p><strong><br /></strong></p><p><strong>Swayam Narain</strong> is an award winning computer scientist who graduated top of his class at Singapore University of Technology and Design (SUTD). He was a software engineer at Pivotal Labs where he turned client’s ideas to high quality products. He has expertise in building computer vision pipelines, social media platforms and cloud applications that scale.</p>","{'label': 'Singapore', 'value': 'singapore', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'AR/VR/Media', 'value': 'arVrMedia', 'selected': True}",http://affable.ai/
6,"{'label': 'EF8 (London)', 'value': 'ef8London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/Agrosight.png,"[{'col1': 'Mayke De Freitas Santos', 'founderName': 'Mayke De Freitas Santos'}, {'col1': 'Adolfo Posadas Durand', 'founderName': 'Adolfo Posadas Durand'}]",1645,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_square1024/Agrosight.png,Agrosight,"<p><strong>Agrosight </strong>detects plant diseases early using hyper-spectral signals, dramatically reducing the cost of food production. Our technology detects diseases before they cause serious damage to crops. We do this by detecting minute changes in the light spectrum profile of a plant, signalling that a plant is affected days before any physical manifestation of damage is shown. This significantly reduces crop loss for farmers. </p>
<p><br /></p>
<p><strong>Mayke De Freitas Santos </strong>has been working as a policy advisor and project manager for several NGOs to minimise the impact that agriculture causes to biodiversity globally. He holds degrees from the Universities of London and Cambridge in International Environmental Law and Conservation Policy. </p>
<p><strong>Adolfo Posadas Durand </strong>has a PhD in Physical Science and more than 25 years of experience in applied physics, mathematical modelling and complex systems applied to agriculture, soil physics, ecology, and environmental science.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Agriculture', 'value': 'agriculture', 'selected': True}",
7,"{'label': 'EF3 (London)', 'value': 'ef3London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/projects/_w1024/aim-brain.png,"[{'col1': 'Andrius Sutas', 'founderName': 'Andrius Sutas'}, {'col1': 'Alesis Novik', 'founderName': 'Alesis Novik'}]",258,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/aimbrain.png,Aimbrain,"<p>It is vital for financial institutions to identify fraud by verifying if the customers are who they say they are. But that security can't damage user experience. <strong>AimBrain</strong> set out to solve that problem by delivering SaaS biometric authentication platform. It is the only platform that provides multi-module, Behavioural, Facial and Voice, authentication in a single package. </p>
<p><br /></p>
<p><strong>Andrius Sutas</strong> graduated top of the class in Computer Science &amp; Electronics from the University of Edinburgh. In the course of his academic career he has served as a research assistant, and completed internships at the European Space Agency and ARM<br /></p>
<p><br /></p>
<p><strong>Alesis Novik</strong> holds Master's degree in Artificial Intelligence from the University of Edinburgh and has participated in Google’s Summer of Code Program. More recently, he has spent time at CERN and at Level E Capital and has completed three years of PhD work before dropping out to start AimBrain.<br /></p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Security', 'value': 'security', 'selected': True}",http://aimbrain.com/
8,"{'label': 'EF6 (London)', 'value': 'ef6London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/_w1024/Screen-Shot-2017-07-07-at-1.27.28-PM.png,"[{'col1': 'Giacomo Mariotti', 'founderName': 'Giacomo Mariotti'}, {'col1': 'Sree Balan', 'founderName': 'Sree Balan'}]",260,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/Alpha.png,alpha i,"<p><strong>alpha i </strong>is a research-led tech company combining cutting edge research in Bayesian methods and machine learning to bring AI to a large class of dynamical problems that traditional methods fail to describe. The company's first vertical is the ultimate dynamical system: the financial markets. They use their proprietary AI tech to spot transient market inefficiencies and and translate them into investment opportunities for the hedge fund industry.</p>
<p><br /></p>
<p><strong></strong><strong>Giacomo Mariotti</strong> has Master’s in Particle Physics and Quantitative Finance. He worked for 2 years at RWE Npower, where he was the head quant of the hedging desk of the company.</p>
<p><br /></p>
<p><strong></strong><strong>Sreekumar Thaithara Balan</strong> has a PhD in Astrophysics from the University of Cambridge and 4 years of postdoctoral experience at UCL. His research focus is high dimensional Bayesian inference. His models for cosmological data analysis and object detection led to the discovery of a new planet.<br /></p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Finance', 'value': 'finance', 'selected': True}",http://alpha-i.co/
9,"{'label': 'EF4 (London)', 'value': 'ef4London', 'selected': True}",https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Alumni-Placeholder/_w1024/Pixel_emoji_4.png,"[{'col1': 'Mostafa Elsayed', 'founderName': 'Mostafa Elsayed'}, {'col1': 'Suryansh Chandra', 'founderName': 'Suryansh Chandra'}]",264,https://s3-eu-west-1.amazonaws.com/ef-website-production/assets/Portfolio-Logos/_square1024/Automata2.png,Automata Technologies,"<p><strong>Automata</strong> is  working to democratize robotics by creating an affordable &amp; accessible robotic ecosystem. Our first product, is a lightweight, plug-n-play robotic arm, with software so simple that it takes just three taps to get running. On top of all that, it costs just a tenth of conventional table-top sized industrial arms. </p>
<p><br /></p>
<p><strong>Suryansh Chandra</strong> and <strong>Mostafa Elsayed</strong>, met while working for the last 6 years at the Computation &amp; Design Research Group at Zaha Hadid’s London office, where they were engaged in advanced design and manufacturing techniques including robotics.</p>","{'label': 'London', 'value': 'london', 'selected': True}","{'label': 'Active', 'value': 'active', 'selected': True}","{'label': 'Robotics/IoT', 'value': 'roboticsIot', 'selected': True}",http://www.getautomata.com/
