company_name,employees,funding,acquisition
42lab,11-50,,
ACCELERATED DYNAMICS,1-10,,
accuRx,1-10,£10K,
ACKCIO,,,
ADBRAIN,11-50,$16.5M,Y
AFFABLE,,,
AGROSIGHT,11-50,£4.4M,
Alpha I,1-10,£10K,
AUTOMATA TECHNOLOGIES,11-50,,
avocarrot,,$2.2M,$20M
BETASIGHT,,,
BEYOND,1-10,$2M,
BLINKPOOL,,,
BLOOMSBURY,1-10,$1.7M,
BROLLY,1-10,£1M,
CALIPSA,1-10,£1.2M,
CAMBRIAN INTELLIGENCE,11-50,$6.9M,
CARGOMATE,1-10,£70K,
CERTSIMPLE,1-10,,
CHATTERMILL,1-10,£600K,
CLEO,1-10,$3.3M,
CLICKMECHANIC,11-50,£1.1M,
CLOUDNC,,£2.5M,
CODE KINGDOMS,1-10,$2.8M,
CONNECTMED,1-10,$37.5K,
CONTEXT SCOUT,1-10,£1.3M,
CONVERGE,11-50,,
CREATIVE AI,,,
CREDIT KUDOS,1-10,£600K,
CRYPTOQUANTIQUE,,£10K,
CYRA,1-10,£10K,
ECHOBOX,11-50,$3.4M,
ENCORE,,£560K,
EYN,,,
FLEXCITON,1-10,£888K,
GTN,,,
HADEAN,11-50,$2.6M,
HERTZWELL,1-10,,
HUBBLE,11-50,$2.4M,
HYDROLEAP,,,
IMMERZEN LABS,1-10,,
INTELLIGENT ROBOTS,,£10K,
KHEIRON MEDICAL,1-10,£10K,
KINEXCS,,$415K,
KIROKU,1-10,,
KRONIKARE,,,
KUE,1-10,,
LEIF,1-10,,
LEMNIS TECHNOLOGIES,,,
LINGUMI,1-10,£500K,
LOOPPERFECT,1-10,£10K,
MACHINE MEDICINE,,,
MAGIC PONY TECHNOLOGY,,$6.3M,$150M
MARBLE,1-10,,
MAVRX,1-10,$22.4M,
MEDIOS,,,
METIS LABS,,,
MICROSEC,,,
MIGACORE,,,
MOBILUS LABS,,,
MOVEL AI,11-50,,
MULTIPLY,,,
NEUROFENIX,1-10,£10K,
NSTACK,,,
OBSERVE TECHNOLOGIES,,,
OPEN COSMOS,11-50,,
OPEN RISK EXCHANGE,1-10,,
OPTIMAL LABS,,,
PASSFORT,11-50,£1.4M,
PERMUTIVE,1-10,$1.4M,
PETAGENE,,£10K,
PHOELEX,,,
PI-TOP,11-50,£3.5M,
PIT.AI,1-10,,
PLOTIST,,,
PORTCAST,,,
PORTIFY,,£70K,
PREDINA TECHNOLOGIES,,,
PROPORTUNITY,1-10,$1.7M,
QRITIVE,,,
REPRESENT,51-100,,Y
RESURGO GENETICS,,,
RESYNC,,,
ROBIK AI,,,
SANCTUM TECHNOLOGIES,11-50,,
SCALIA,1-10,,
SCAPE,11-50,,
SEE-MODE,,,
SELERIO,1-10,,
SENSORFLOW,,,
SENSUM TECHNOLOGIES,,,
SENTIENT MACHINES,,€500K,
SOUSCHEF,1-10,,
SPARRHO,11-50,$3M,
SPEAKSET,1-10,,
STATUS TODAY,11-50,€5K,
THINKSONO,,,
